               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036217,           0.0096823,           0.0015499,              0.9583,              0.9782,             0.98348,             0.49517,            0.034206,           0.0073215,          0.00074774,            0.008317,            0.008317,            0.008317
                  36,            0.036325,           0.0095836,           0.0015171,             0.95003,              0.9811,             0.98061,              0.4942,            0.034041,           0.0073437,          0.00063917,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03596,           0.0097687,            0.001616,             0.95113,              0.9755,             0.97588,             0.49177,            0.034149,           0.0072945,          0.00076836,            0.008218,            0.008218,            0.008218
                  38,            0.035982,            0.009718,           0.0015104,             0.95855,             0.98197,             0.98323,              0.5108,            0.033082,            0.007146,          0.00068943,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035677,           0.0098821,           0.0013043,              0.9573,             0.97906,             0.98023,             0.50199,            0.033298,           0.0072798,          0.00063778,            0.008119,            0.008119,            0.008119
                  40,            0.035606,           0.0097098,           0.0013555,             0.96168,             0.97795,             0.98403,              0.5055,            0.033483,           0.0071626,          0.00065127,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035367,           0.0096966,           0.0014987,             0.95828,             0.97681,             0.98063,             0.50277,            0.033603,           0.0072021,          0.00075926,             0.00802,             0.00802,             0.00802
                  42,            0.035505,           0.0097417,            0.001385,             0.95338,             0.97959,             0.97676,             0.48884,            0.033873,           0.0072532,          0.00066271,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035046,           0.0095323,           0.0012404,             0.95166,             0.98163,             0.97877,             0.50386,            0.033628,           0.0071998,          0.00061309,            0.007921,            0.007921,            0.007921
                  44,            0.035197,           0.0095402,           0.0013148,             0.96063,             0.97674,             0.97861,             0.50604,            0.033808,           0.0073161,          0.00062616,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035234,           0.0098094,           0.0014825,             0.95634,             0.97475,             0.97783,             0.50283,            0.033196,           0.0072055,          0.00081638,            0.007822,            0.007822,            0.007822
                  46,            0.035122,           0.0095901,             0.00147,             0.95825,             0.97953,             0.97752,             0.50771,             0.03317,           0.0071712,          0.00047144,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034622,           0.0095413,           0.0011607,             0.95641,             0.98155,             0.98019,             0.51014,            0.033045,           0.0071934,          0.00050214,            0.007723,            0.007723,            0.007723
                  48,            0.034427,           0.0094488,           0.0011182,             0.96448,             0.97282,             0.98064,             0.51266,            0.032859,           0.0071104,          0.00049855,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034414,           0.0095027,           0.0011794,             0.96392,             0.97518,             0.98197,             0.50001,             0.03361,           0.0072299,          0.00049173,            0.007624,            0.007624,            0.007624
